Nr_crt,circles_detected,circles_present,calculated_distance,actual_distance,difference _ circles,difference_distance
1,1,1,4.779161,5.004203,0,-0.225042
2,1,1,4.779161,5.207346,0,-0.428185
3,1,1,5.543827,5.565898,0,-0.022071
4,1,1,4.779161,4.816383,0,-0.037222
5,1,1,4.199869,4.240734,0,-0.040865
6,1,1,3.84988,4.226266,0,-0.376386
7,1,1,3.959876,4.534997,0,-0.575121
8,1,1,4.779161,5.05848,0,-0.279319
9,1,1,5.133173,5.533066,0,-0.399893
10,1,1,4.619856,5.530775,0,-0.910919
11,1,1,4.949845,5.155636,0,-0.205791
12,1,1,5.543827,5.157801,0,0.386026
13,1,1,4.199869,4.69992,0,-0.500051
14,1,1,3.959876,4.69427,0,-0.734394
15,1,1,3.959876,4.693688,0,-0.733812
16,1,1,4.076344,4.696584,0,-0.62024
17,1,1,5.543827,5.150883,0,0.392944
18,0,1,0,0,-1,0
19,1,1,4.949845,5.532386,0,-0.582541
20,1,1,4.779161,4.751084,0,0.028077
21,1,1,3.84988,4.012318,0,-0.162438
22,1,1,3.299897,4.008835,0,-0.708938
23,1,1,3.647254,4.010906,0,-0.363652
24,1,1,3.380382,4.009605,0,-0.629223
25,1,1,3.84988,4.439985,0,-0.590105
26,1,1,4.470828,4.89087,0,-0.420042
27,1,1,4.779161,5.464101,0,-0.68494
28,1,1,4.949845,5.45976,0,-0.509915
29,1,1,4.619856,5.461225,0,-0.841369
30,1,1,4.779161,5.462665,0,-0.683504
31,1,1,4.949845,5.464069,0,-0.514224
32,0,1,0,0,-1,0
33,1,1,5.133173,5.466736,0,-0.333563
34,1,1,4.076344,4.430143,0,-0.353799
35,1,1,4.199869,4.425896,0,-0.226027
36,1,1,3.84988,4.424343,0,-0.574463
37,2,1,3.299897,3.234771,1,0.065126
38,2,1,3.223155,3.234197,1,-0.011042
39,3,1,3.84988,3.233245,2,0.616635
40,2,1,3.84988,3.582523,1,0.267357
41,1,1,3.149902,3.605102,0,-0.4552
42,2,1,4.199869,3.602452,1,0.597417
43,1,1,3.380382,3.950609,0,-0.570227
44,1,1,3.647254,3.953103,0,-0.305849
45,1,1,4.470828,4.631184,0,-0.160356
46,2,1,3.84988,3.614938,1,0.234942
47,3,1,3.553735,3.160861,2,0.392874
48,1,1,4.470828,4.712492,0,-0.241664
49,1,1,5.133173,5.219242,0,-0.086069
50,1,1,5.543827,5.320646,0,0.223181
51,0,1,0,0,-1,0
52,1,1,5.133173,5.623626,0,-0.490453
53,0,1,0,0,-1,0
54,1,1,4.199869,4.687121,0,-0.487252
55,1,1,4.199869,4.367042,0,-0.167173
56,1,1,3.84988,4.087066,0,-0.237186
57,1,1,3.380382,3.691206,0,-0.310824
58,1,1,3.079904,3.687798,0,-0.607894
59,2,1,3.647254,3.793351,1,-0.146097
60,1,1,3.84988,4.567299,0,-0.717419
61,1,1,3.647254,4.564977,0,-0.917723
62,1,1,3.959876,4.966986,0,-1.00711
63,0,1,0,0,-1,0
64,1,1,4.619856,4.973794,0,-0.353938
65,1,1,4.331115,4.969302,0,-0.638187
66,1,1,4.331115,4.972844,0,-0.641729
67,1,1,4.619856,4.974473,0,-0.354617
68,1,1,4.470828,4.970797,0,-0.499969
69,1,1,4.619856,4.935661,0,-0.315805
70,1,1,4.331115,4.934705,0,-0.60359
71,1,1,4.470828,5.338917,0,-0.868089
72,1,1,5.133173,5.340951,0,-0.207778
73,1,1,5.330603,5.340258,0,-0.009655
